index,purchase_index,fixed_mortgage_30,adjustable_mortgage,fixed_mortgage_15,all_items,all_items_no_fe,shelter,nominal_gdp,personal_income,population,per_capita_income,household_dti,housing_price_index,initial_claims,continued_claims,insured_employees,initial_claims_rate,continued_claims_rate
2014-10-31,165.8,4.033463477834195,2.9745780820431156,3.2066104360927232,135.891,128.76,143.5,5888634.588888889,5054018.222222222,319890974.6666666,15799.10102596059,1.4985618529209848,96.28100166956641,264875.75,2006147.25,131861471.25,0.19953713799585304,1.520368489117049
2014-11-30,169.32,3.9974076304215824,3.0023763994806596,3.187400064115584,135.107,128.571,143.729,5900751.377777778,5077244.177777777,320128472.3333334,15859.935896892457,1.5316767083081284,96.54390161943667,325618.3999999999,2168346.400000001,131882256.0,0.23904680311293808,1.6304858328355893
2014-12-31,167.52499999999998,3.863465833733202,2.977712295772272,3.1274507422310367,134.207,128.166,143.923,5912868.166666666,5100470.133333333,320365970.0,15920.76740076461,1.5648127719124914,96.80690921240168,373080.5,2467703.25,131882256.0,0.26692599406902995,1.8572911920178237
2015-02-28,169.45,3.708271801480134,2.9358686725694843,3.006353178616967,134.053,128.804,144.861,5943915.5444444455,5142945.911111111,320740988.6666667,16034.511847952966,1.4489973326638026,97.5225781351232,286148.5,2772381.5,132541427.0,0.21143417939755402,2.089630724290946
2015-03-31,177.75,3.7690087645330004,2.9646542617999816,3.0392564708415604,134.969,129.406,145.364,5959439.2333333315,5164183.800000001,320928498.0,16091.38924943857,1.391053719383154,97.88057256759728,248743.25,2592612.0,132542061.75,0.18600263165023811,1.9512455348641995
2015-05-31,201.95999999999998,3.8398301113172493,2.89247619789451,3.062151757022564,135.977,130.029,146.028,6004758.988888889,5195861.8,321314562.6666667,16170.60941614246,1.4047592455915137,98.93798571128116,246432.40000000014,2056356.7999999993,133356376.0,0.18289176441834112,1.5394070915188558
2015-06-30,206.675,3.981371543972067,2.987376345516874,3.1910863122119624,136.391,130.146,146.466,6027418.866666667,5211700.8,321507595.0,16210.196119623033,1.4116134243072342,99.4669812191311,272565.75,2069310.5,133357483.0,0.19875970612293117,1.5505809546429106
2015-07-31,201.3,4.045626239108313,2.9598648583865543,3.213743146292295,136.371,130.162,147.094,6039968.288888888,5224872.522222222,321735990.99999994,16239.592716041525,1.4348041732961976,99.94855903819258,262967.0,2205688.25,134025205.75,0.18822629389337672,1.6448763521536842
2015-09-30,204.4,3.8899097262355764,2.9174764682273464,3.0949596119405616,135.837,130.436,147.637,6065067.133333332,5251215.966666667,322192783.0,16298.356842255322,1.481251173147021,100.91235742799986,213325.25,1876802.25,134024034.25,0.15798379087579512,1.3992316769876108
2015-10-31,201.11999999999998,3.795678617547534,2.8899586202946694,3.0095915638799386,135.735,130.717,147.971,6067879.011111112,5261214.000000001,322421576.00000006,16317.777792906,1.4762768391976155,101.18953192482583,254833.39999999994,1826198.3999999997,134699351.2,0.18681402199537245,1.3550714194506948
2015-11-30,210.675,3.9420209919632785,2.994757920576676,3.1619168288157833,135.393,130.699,148.196,6070690.888888888,5271212.033333333,322650368.99999994,16337.1911782007,1.4713041536372908,101.46685853761828,302811.5,1997100.0,134739680.25,0.21528056230478862,1.4679960082944332
2015-12-31,219.225,3.963823096485522,3.0376912893745183,3.205754338767197,134.788,130.385,148.4,6073502.766666667,5281210.066666666,322879162.0,16356.597014221892,1.4663331129618875,101.74433694300781,344835.5,2271996.0,134750708.0,0.2448365529830418,1.6767156781113315
2016-02-29,217.375,3.6596339052710345,2.8297864714980947,2.9596986485256647,134.953,131.331,149.369,6094996.855555555,5296668.600000001,323260338.6666667,16385.116529537907,1.4488910915560795,102.38393027562762,253443.5,2610218.75,135314958.5,0.184872209414267,1.927109480652584
2016-03-31,226.15,3.693732055787816,2.895657240799633,2.9658974694945273,135.655,131.731,149.796,6105743.8999999985,5304397.866666666,323450927.0,16399.36590789448,1.4401581422260015,102.70395601312345,235777.25,2432780.5,135314659.5,0.1726914414001568,1.7958940831116743
2016-05-31,229.075,3.5997922385023013,2.8120891708520572,2.842090166818097,136.895,132.358,150.722,6146910.72222222,5323438.555555556,323843765.0,16438.259342122605,1.4466859802226535,103.999320835564,238667.25,1962426.25,136187916.0,0.17358987191219996,1.4389723325259542
2016-06-30,236.075,3.5669879378403033,2.7744953509851604,2.841169290406939,137.329,132.495,151.388,6167494.133333334,5332958.899999999,324040184.0,16457.70434992511,1.449951768488777,104.64728573765099,259188.5,1979865.5,136189748.5,0.18634408049251336,1.4526341866697414
2016-07-31,227.66,3.439782602663385,2.749372125361001,2.7473298152782393,137.007,132.38,151.691,6185666.999999999,5349602.511111111,324260164.0,16497.806737929528,1.4379995203113725,105.27228615349055,247769.59999999998,2082038.4,136842024.8,0.17537671590906181,1.519049747444609
2016-09-30,224.95,3.4597687753107125,2.8139630778401052,2.755874089545276,137.328,132.738,152.385,6222012.733333335,5382889.733333332,324700124.0,16578.032799084074,1.4140981360033078,106.5227744517215,197913.75,1777529.25,136840335.0,0.14399181265450944,1.2963431501608136
2016-10-31,215.42,3.4696397320520114,2.8273693347189206,2.7622381382719072,137.536,133.032,152.865,6243476.944444444,5400827.899999999,324910827.99999994,16622.436452956623,1.4452966116239019,106.8175809578573,240837.20000000004,1708611.4,137530022.8,0.17249419689103468,1.2413570384850905
2016-11-30,218.675,3.75747743314459,2.9808480568085067,3.017732474669933,137.253,132.972,153.11,6264941.155555556,5418766.066666666,325121532.00000006,16666.841710194924,1.4764950019155914,107.11248893224263,276922.75,1830373.5,137544523.0,0.19199296939719576,1.321548808711665
2016-12-31,230.525,4.195852223739956,3.224490699553064,3.425743447512009,137.221,132.818,153.501,6286405.366666667,5436704.233333333,325332236.0,16711.24856768369,1.5076933070441687,107.40749817772746,344127.60000000003,2164495.8,137564518.4,0.2393982959539488,1.5589296847222514
2017-02-28,226.175,4.167447590907758,3.1947730752762835,3.379852066862212,138.403,133.818,154.408,6327806.744444443,5490126.122222223,325666145.3333333,16858.062646022383,1.3884205088713972,107.94175085141624,233697.0,2424314.0,138157380.0,0.1663149238682372,1.7533672911560718
2017-03-31,237.175,4.194832228386329,3.213255488747466,3.412970003224009,138.461,133.834,154.744,6348507.433333333,5516837.066666667,325833100.0,16931.48623754513,1.3287607625229816,108.2091588057659,219457.25,2260559.75,138157543.25,0.15694618523060994,1.6350878221019516
2017-05-31,243.4,4.009660977320552,3.1172510195805967,3.254541462975168,138.922,134.054,155.472,6386160.588888888,5558116.777777778,326164334.00000006,17040.81013669222,1.3889707613154956,109.83441159211237,213361.75,1745255.0,138698690.75,0.15223807898090014,1.256618378193255
2017-06-30,252.575,3.903891786410069,3.13582666693671,3.1739672620392576,138.989,134.13,155.976,6404987.166666668,5578756.633333333,326329951.0,17095.47980396177,1.419096884570877,110.6473338973504,237004.0,1786303.75,138698694.0,0.16708138486664448,1.2860333207839472
2017-07-31,242.58,3.9671067200192778,3.219584300941886,3.2346550665071243,138.755,133.921,156.083,6431087.244444443,5599766.255555556,326524523.0,17149.560808329425,1.4359270415817669,111.23358785676976,231492.59999999998,1901711.9999999998,139220849.8,0.15974800684033155,1.3638177901676198
2017-09-30,233.68,3.804835742444152,3.1622889488748007,3.1047987117552336,139.878,134.438,157.146,6483287.4,5641785.5,326913667.0,17257.728005879508,1.4695901275798215,112.40636197552733,213154.00000000003,1635546.5999999996,139267833.20000002,0.14575656623724068,1.1690479698753349
2017-10-31,232.55,3.8947111544556585,3.1798903783161387,3.1995937060491078,139.782,134.76,157.683,6519003.366666667,5668743.000000001,327094684.6666667,17330.515545094593,1.4839880879878007,112.73866664062594,214479.0,1574519.25,139668631.0,0.1520855191749221,1.1257328402854927
2017-11-30,235.125,3.9218940148538266,3.2395025780520883,3.2877383233585955,139.72,134.618,157.851,6554719.333333333,5695700.5,327275702.3333333,17403.302292822566,1.4983905187938462,113.07106934245299,259494.75,1685081.0,139668631.0,0.17927286722487973,1.1960831751797398
